user_name;hour;timezone
ricardoquesada"";"16";"-8"
tomasAlabes"";"15";"-8"
nickl-"";"3";"2"
mzgol"";"18";"1"
kcooney"";"9";"-8"
MmmCurry"";"6";"None"
deadprogrammer"";"16";"None"
brow"";"13";"-8"
charliesome"";"14";"10"
kkaefer"";"11";"1"
pietern"";"9";"-8"
richleland"";"10";"-5"
Marak"";"16";"-8"
nzakas"";"8";"-8"
scannell"";"7";"None"
jasonmorrissey"";"2";"10"
alexgorbatchev"";"10";"-8"
zarvox"";"19";"-8"
ammmir"";"23";"-8"
funkotron"";"12";"0"
IgorMinar"";"16";"-8"
cdwort"";"11";"None"
rivera-ernesto"";"10";"9"
spraints"";"10";"-5"
bfleischer"";"23";"1"
Herzult"";"22";"1"
timruffles"";"12";"0"
macfanatic"";"20";"-5"
Yaffle"";"20";"None"
RoyJacobs"";"17";"1"
elinw"";"18";"None"
xlexi"";"16";"1"
tomfaulhaber"";"18";"-8"
chrisumbel"";"6";"None"
pkrumins"";"20";"2"
pa7"";"0";"1"
rachelbaker"";"14";"-6"
heynemann"";"15";"-3"
leahxschmidt"";"13";"None"
allmarkedup"";"17";"0"
k88hudson"";"11";"None"
derekwyatt"";"9";"None"
kirs"";"12";"3"
gildas-lormeau"";"21";"1"
jonallured"";"7";"-6"
mhoran"";"22";"-5"
bbatsov"";"12";"2"
eMxyzptlk"";"11";"-8"
aFarkas"";"12";"1"
fengmk2"";"17";"8"
dethe"";"14";"-8"
NealKemp"";"23";"-8"
dougwilson"";"9";"-5"
jgilfelt"";"13";"0"
dhotson"";"21";"10"
cronopio"";"12";"-5"
tea-dragon"";"13";"-5"
hbbio"";"3";"-8"
mjijackson"";"11";"-8"
jfahrenkrug"";"10";"-5"
mattmanning"";"16";"-5"
minrk"";"11";"-8"
balupton"";"16";"10"
macteo"";"8";"1"
itechnology"";"23";"1"
andreasbernhard"";"21";"1"
avalanche123"";"11";"-8"
jakl"";"10";"-8"
alexgibson"";"10";"0"
JamesMGreene"";"12";"-6"
treffynnon"";"11";"0"
sbosley"";"14";"None"
ubuwaits"";"21";"1"
mickaelandrieu"";"15";"1"
gothfox"";"4";"None"
tooky"";"16";"0"
topfunky"";"12";"-8"
jch"";"13";"-8"
shaneharter"";"11";"None"
chrisdavenport"";"12";"None"
rstoyanchev"";"14";"-5"
zurbchris"";"16";"None"
techiferous"";"18";"-5"
dextercowley"";"10";"-8"
cowboyd"";"16";"-6"
Lokaltog"";"17";"1"
boctor"";"22";"-6"
ncb000gt"";"10";"-5"
ebidel"";"10";"-8"
egirshov"";"12";"None"
verekia"";"16";"None"
ryanramage"";"12";"-6"
benspaulding"";"11";"-7"
jonmak08"";"16";"None"
orkel"";"11";"None"
tarcieri"";"14";"-8"
powmedia"";"10";"0"
joelambert"";"20";"0"
jgm"";"9";"-8"
bengremillion"";"13";"None"
danielstocks"";"13";"1"
patthoyts"";"14";"0"
sergeychernyshev"";"12";"-5"
Raynes"";"14";"-8"
lifesinger"";"10";"8"
luizcosta"";"20";"-3"
fgnass"";"10";"1"
jcrugzz"";"1";"-5"
seanami"";"13";"-8"
syohex"";"0";"9"
vakata"";"1";"2"
natecavanaugh"";"16";"-8"
shayne"";"15";"-8"
kolber"";"13";"10"
onedayitwillmake"";"13";"-5"
fgrehm"";"21";"-3"
fnordfish"";"14";"1"
amasad"";"18";"-5"
erwaller"";"10";"None"
ggilder"";"11";"-8"
idflood"";"2";"None"
b4winckler"";"7";"None"
ehynds"";"8";"-5"
nightwing"";"23";"4"
mduvall"";"22";"-8"
marpaia"";"19";"-8"
maxkfranz"";"16";"-5"
ccampbell"";"21";"-5"
michaelklishin"";"11";"None"
shevaun"";"9";"10"
mcavage"";"8";"-8"
jsor"";"20";"1"
myell0w"";"13";"1"
mdo"";"15";"-8"
thomasdavis"";"17";"10"
calebthompson"";"9";"-5"
pascalh1011"";"16";"2"
gavinandresen"";"21";"-5"
mattr-"";"22";"-6"
stevegraham"";"17";"0"
arr-ee"";"17";"3"
kjvarga"";"13";"-6"
NV"";"9";"-8"
evadne"";"22";"10"
devgeeks"";"10";"10"
derekcollison"";"17";"-8"
juj"";"2";"None"
Rican7"";"17";"-5"
pinaypunto"";"3";"None"
EvilTosha"";"11";"None"
aehlke"";"2";"-5"
tanepiper"";"16";"0"
fidian"";"8";"-6"
georgemandis"";"8";"None"
progrium"";"15";"-8"
mislav"";"16";"1"
fullbridge-batkins"";"10";"-5"
mrtazz"";"17";"-5"
chrismiles"";"10";"10"
jlembeck"";"14";"-8"
aroben"";"8";"-5"
puls"";"10";"-8"
mroth"";"11";"-5"
rscarvalho"";"8";"-4"
ai"";"15";"3"
somerandomdude"";"22";"-8"
jeresig"";"23";"-5"
idiot"";"16";"0"
yob"";"0";"10"
jdfreder"";"11";"None"
sferik"";"17";"1"
guilleiguaran"";"0";"-5"
happyworm"";"15";"0"
scttnlsn"";"12";"-5"
spf13"";"10";"-5"
davidlao2k"";"19";"None"
jhudson8"";"18";"None"
jvarley"";"11";"None"
a2"";"16";"-5"
rightparen"";"9";"None"
dbhurley"";"15";"-5"
chrisp-fb"";"16";"None"
elgenie"";"10";"-8"
tapmodo"";"16";"-8"
timothyej"";"2";"1"
davidjrice"";"17";"0"
pstadler"";"10";"1"
adzap"";"9";"10"
lithium3141"";"23";"None"
florentx"";"16";"None"
jasonlewis"";"7";"0"
zenmatt"";"21";"-5"
mourner"";"12";"2"
Keithbsmiley"";"10";"-5"
tkellen"";"15";"-5"
turadg"";"8";"-8"
yrashk"";"10";"-8"
holman"";"14";"-8"
emile"";"4";"None"
anildash"";"22";"-5"
ivansafrin"";"11";"None"
lian"";"22";"1"
stephanemoore"";"16";"None"
senny"";"10";"1"
caseywebdev"";"11";"-6"
ZJONSSON"";"18";"None"
albertz"";"16";"1"
psychs"";"5";"-8"
aranhoide"";"10";"None"
johnyma22"";"6";"None"
jweinberg"";"13";"None"
tomwhite"";"7";"None"
sloisel"";"0";"0"
m1ch1"";"18";"None"
pokonski"";"11";"1"
imathis"";"23";"-6"
anandology"";"16";"6"
thomasgriffin"";"10";"-5"
fat"";"21";"-8"
glyphobet"";"11";"None"
sn6uv"";"20";"None"
brutuscat"";"19";"1"
rvoicilas"";"15";"None"
mludvig"";"16";"12"
JoelKatz"";"11";"-8"
kripken"";"17";"None"
ferventcoder"";"10";"-6"
joneslee85"";"22";"10"
kcbanner"";"17";"-5"
maintux"";"17";"1"
JakeWharton"";"23";"-8"
dmethvin"";"21";"-5"
samhendley"";"22";"None"
pksunkara"";"10";"None"
kneath"";"11";"-8"
ggreer"";"17";"-8"
xenda"";"20";"-5"
agustincordes"";"18";"-3"
MatthewMueller"";"15";"-8"
seebi"";"15";"1"
gunn"";"13";"12"
dkubb"";"23";"-8"
cheeaun"";"23";"8"
hikalkan"";"21";"2"
abh"";"16";"-8"
kylefiedler"";"13";"None"
niden"";"10";"-5"
matsko"";"17";"-5"
gimite"";"23";"9"
Soliah"";"11";"10"
myronmarston"";"8";"-8"
kswedberg"";"14";"-5"
ilya"";"20";"-8"
rurban"";"15";"-6"
igrigorik"";"20";"-8"
dormando"";"0";"None"
harthur"";"15";"-8"
JulienMoumne"";"14";"None"
tadatuta"";"23";"2"
joshuaArd"";"12";"None"
mastahyeti"";"17";"-6"
jonas"";"21";"-5"
douglascrockford"";"10";"None"
gregsexton"";"11";"0"
jonathanpuckey"";"6";"None"
es128"";"10";"-5"
markburns"";"8";"0"
dannygreg"";"11";"-8"
bocon13"";"16";"None"
incanus"";"15";"-8"
SlexAxton"";"16";"-6"
mrdavidlaing"";"16";"0"
pkozlowski-opensource"";"12";"-6"
sobrinho"";"16";"-4"
thomasyip"";"0";"-8"
rkh"";"17";"1"
jspahrsummers"";"11";"-8"
troels"";"14";"None"
lisachenko"";"22";"3"
seenmyfate"";"12";"0"
eastridge"";"12";"-8"
stephenmckinney"";"20";"-5"
peterkeating"";"17";"0"
n1k0"";"10";"1"
3rd-Eden"";"11";"1"
thibaudgg"";"8";"1"
josegonzalez"";"11";"-5"
smsohan"";"10";"-7"
jussi-kalliokoski"";"20";"2"
bwhaley"";"9";"None"
zerkella"";"18";"None"
yaoweibin"";"18";"8"
antirez"";"11";"1"
ataranto"";"17";"-8"
godlygeek"";"23";"-5"
pickhardt"";"19";"-8"
ronkorving"";"11";"9"
whomwah"";"13";"0"
csquared"";"15";"-8"
dmajda"";"16";"1"
jdg"";"14";"-6"
Byron"";"21";"1"
kikito"";"1";"1"
ded"";"13";"-8"
caniszczyk"";"16";"-6"
rcrowley"";"11";"-8"
cortesi"";"11";"12"
shiftkey"";"10";"10"
hvoigt"";"13";"None"
jiangxin"";"9";"8"
dchester"";"18";"-5"
fabiomcosta"";"16";"-8"
nbibler"";"22";"-5"
vitmalina"";"9";"None"
jaliss"";"7";"None"
liuliu"";"22";"-8"
stubbornella"";"14";"-8"
stig"";"22";"0"
calebmdavenport"";"10";"None"
Viras-"";"10";"None"
albus522"";"11";"None"
dpvc"";"7";"None"
TrevorBurnham"";"11";"-5"
alexreisner"";"13";"-5"
saberma"";"23";"8"
fnando"";"14";"-3"
FabianFrank"";"15";"-8"
dgryski"";"22";"1"
javruben"";"18";"1"
rphillips"";"10";"-6"
dblock"";"9";"-5"
warpech"";"11";"1"
puckey"";"15";"1"
EppO"";"12";"None"
sahilm"";"5";"None"
kosaki"";"9";"-5"
jbogard"";"21";"-6"
indexzero"";"2";"-5"
RedWolves"";"20";"-5"
remiprev"";"8";"-5"
packetmonkey"";"21";"-5"
cristiandouce"";"16";"-3"
stephband"";"14";"None"
spulec"";"22";"-5"
starzonmyarmz"";"9";"-5"
joshuaclayton"";"9";"-5"
chrisdone"";"16";"1"
laurentj"";"10";"1"
necolas"";"13";"-8"
titoBouzout"";"19";"-3"
garand"";"11";"-5"
michaeldv"";"15";"-8"
devisnik"";"1";"None"
ehsan"";"13";"-5"
wavded"";"20";"-6"
falkenbt"";"10";"None"
csswizardry"";"13";"0"
normanmaurer"";"7";"1"
dherman"";"14";"-8"
mattpat"";"17";"-5"
arian"";"0";"1"
victorporof"";"4";"None"
wrl"";"14";"1"
martinbean"";"12";"0"
meatballhat"";"22";"-5"
RevolutionAnalytics"";"11";"None"
mikeal"";"11";"-8"
mdomsch"";"20";"-6"
farnoy"";"9";"None"
crohr"";"16";"0"
walle"";"11";"1"
alanjrogers"";"11";"10"
rwz"";"1";"-5"
georgebrock"";"8";"1"
rolftimmermans"";"6";"None"
thedersen"";"12";"1"
kevinsimper"";"0";"1"
JamieLottering"";"18";"-8"
weierophinney"";"11";"-6"
thomas-mcdonald"";"22";"0"
cshum"";"23";"8"
infograf768"";"0";"None"
xslim"";"11";"1"
Bittarman"";"13";"0"
wbsun"";"16";"-7"
andrewfb"";"12";"-5"
vgod"";"14";"-5"
loopj"";"14";"-8"
blackgold9"";"22";"-8"
jseidelin"";"20";"1"
midgetspy"";"22";"-6"
dexteryy"";"18";"8"
todc"";"12";"-8"
atermenji"";"19";"2"
evandavis"";"13";"None"
ernie"";"8";"-5"
inducer"";"11";"-6"
Kronuz"";"11";"None"
Vitallium"";"23";"3"
SamSaffron"";"10";"10"
doctyper"";"10";"-8"
xetorthio"";"10";"-5"
mastrolinux"";"11";"1"
ezimuel"";"17";"1"
aanand"";"17";"0"
ebiermann"";"0";"None"
jzaefferer"";"18";"1"
afelix"";"22";"None"
demosdemon"";"12";"-6"
ask"";"15";"0"
ajashton"";"12";"-5"
keithamus"";"11";"0"
cjdelisle"";"0";"None"
mattbryson"";"19";"0"
jbuck"";"16";"-5"
kpdecker"";"15";"-6"
jverkoey"";"19";"-8"
pidster"";"10";"0"
cfis"";"0";"-7"
ewencp"";"10";"-8"
willkg"";"7";"None"
SLaks"";"11";"-5"
donv"";"10";"1"
tim-smart"";"15";"12"
jogu"";"2";"None"
trentrichardson"";"6";"None"
parsch"";"6";"None"
btford"";"17";"-8"
goncalossilva"";"18";"0"
asual"";"0";"2"
kukawski"";"1";"None"
opalang"";"21";"None"
robertodecurnex"";"18";"-3"
ginatrapani"";"2";"-5"
gvarela"";"9";"-7"
laserlemon"";"10";"-5"
josevalim"";"17";"1"
Dorvaryn"";"16";"1"
jvshahid"";"12";"-5"
pagekite"";"15";"0"
EvanDotPro"";"11";"-7"
BanzaiMan"";"15";"-5"
TheRealKerni"";"15";"1"
timrwood"";"10";"-8"
davidkaneda"";"11";"-8"
knowtheory"";"9";"-6"
velesin"";"15";"1"
BorisMoore"";"16";"-8"
monnand"";"20";"None"
riyad"";"21";"1"
reidmorrison"";"14";"-5"
chaoticbob"";"14";"None"
pengwynn"";"12";"-6"
RobertWHurst"";"11";"-8"
mwaterfall"";"16";"0"
zackkitzmiller"";"16";"-5"
greenrobot"";"9";"None"
mpetrovic"";"11";"-5"
Sannis"";"23";"3"
clobber"";"11";"None"
dscho"";"13";"None"
kuenishi"";"16";"9"
julianduque"";"1";"-5"
pbrisbin"";"10";"-5"
ghaida"";"15";"None"
mnutt"";"0";"-5"
friedger"";"13";"None"
Kiv"";"16";"None"
hkrish"";"19";"1"
sigmavirus24"";"8";"-6"
torvalds"";"12";"-8"
arshaw"";"19";"-8"
illfang"";"9";"None"
ifsnow"";"19";"9"
ehmorris"";"0";"-5"
jdennes"";"13";"1"
aslakhellesoy"";"22";"0"
lantz"";"15";"None"
rjemanuele"";"13";"-8"
derekprior"";"11";"-5"
kr"";"17";"-8"
bnoguchi"";"17";"-8"
mattyza"";"14";"2"
joestump"";"18";"-7"
d11wtq"";"21";"10"
cesutherland"";"9";"-5"
ender672"";"22";"-8"
blueimp"";"7";"None"
xcatsan"";"15";"None"
alexkingorg"";"11";"-7"
mishoo"";"1";"None"
JohnEarnest"";"0";"-5"
evanmoran"";"11";"-8"
ffainelli"";"10";"None"
giannis"";"17";"2"
brainsik"";"10";"-8"
randx"";"14";"2"
ichernev"";"0";"-8"
janjongboom"";"11";"1"
alandipert"";"13";"-5"
richardeakin"";"0";"-5"
bramstein"";"10";"1"
clojure-build"";"6";"None"
evanphx"";"22";"-8"
damelang"";"16";"-8"
indutny"";"18";"7"
brennannovak"";"15";"0"
FooBarWidget"";"6";"-6"
batter"";"10";"-5"
foxykeep"";"9";"-8"
gleicon"";"22";"-3"
bf4"";"22";"-6"
m5o"";"8";"None"
BeezyT"";"14";"1"
kkoch986"";"9";"-5"
iros"";"14";"-5"
cmaish"";"22";"None"
daviddarnes"";"14";"0"
mikeash"";"17";"None"
resmo"";"10";"1"
NARKOZ"";"17";"4"
brendandahl"";"10";"-8"
cgrand"";"16";"1"
purplefox"";"12";"2"
Kyros"";"17";"-8"
jasondavies"";"16";"0"
mleibman"";"12";"-8"
maraujop"";"18";"1"
Roendal"";"0";"1"
koush"";"10";"-8"
kennethreitz"";"14";"-5"
sole"";"15";"0"
gdavis"";"11";"-7"
javigomez"";"11";"None"
sandal"";"11";"-5"
habermann24"";"1";"1"
ericam"";"0";"-7"
dosire"";"0";"None"
Beaver6813"";"9";"None"
jrburke"";"16";"None"
SBoudrias"";"15";"-5"
kevinsmith"";"12";"-6"
alexch"";"11";"-8"
tom-de-smedt"";"13";"None"
dnschnur"";"6";"-8"
nanotech"";"22";"None"
buriy"";"2";"6"
woozzu"";"17";"9"
zaach"";"15";"-8"
hollance"";"18";"1"
scottdavis"";"12";"-5"
elm232"";"15";"-8"
facelessuser"";"8";"None"
ellisonbg"";"14";"-8"
obrie"";"18";"-5"
phalcon"";"7";"None"
robertpenner"";"22";"-6"
mwillbanks"";"10";"-6"
mikem"";"22";"None"
nrk"";"11";"1"
mahnunchik"";"23";"6"
mattkersley"";"16";"0"
davesantos"";"16";"None"
HansPinckaers"";"10";"1"
davidmoreno"";"12";"0"
KL-7"";"11";"-8"
richtera"";"7";"-5"
draco2003"";"15";"-5"
artemk"";"12";"2"
tpyo"";"15";"2"
haqu"";"5";"None"
ujihisa"";"22";"-8"
philogb"";"14";"-8"
einaros"";"19";"1"
shancarter"";"21";"-8"
TooTallNate"";"11";"-8"
unscriptable"";"15";"-5"
dragoonis"";"1";"0"
scottschiller"";"8";"-8"
justinlynn"";"17";"-8"
kyleve"";"9";"None"
adarsh"";"9";"-8"
ghusse"";"14";"1"
sirshurf"";"11";"None"
jessieay"";"15";"-8"
stefanodacchille"";"22";"1"
mojombo"";"22";"-8"
askoning"";"17";"1"
jjmata"";"14";"None"
tmatilai"";"5";"2"
adamwiggins"";"15";"-8"
jonobr1"";"17";"-8"
Candid"";"11";"None"
zzak"";"20";"-8"
stefanpenner"";"10";"-5"
pbakaus"";"12";"-8"
halfdan"";"0";"1"
lrsjng"";"17";"1"
nolman"";"8";"-8"
pmjones"";"13";"None"
simplethemes"";"21";"None"
Daxter"";"10";"None"
dmitryf"";"16";"None"
elskwid"";"23";"-8"
GaryJones"";"11";"0"
andymccurdy"";"10";"-8"
liquidx"";"5";"0"
dekimsey"";"14";"-6"
blakewatters"";"11";"-5"
johntyree"";"10";"-6"
ndbroadbent"";"1";"-8"
fredwu"";"9";"8"
ferrous26"";"16";"-5"
casademora"";"9";"-7"
bgrins"";"10";"-6"
jessicazurb"";"17";"None"
knu"";"19";"9"
narfbg"";"13";"2"
jordansissel"";"15";"-8"
knightdr"";"10";"-5"
ManuelKiessling"";"21";"1"
samaaron"";"22";"0"
lexandera"";"14";"1"
bobthecow"";"10";"None"
maccman"";"15";"-8"
hexid"";"14";"-7"
paulopmx"";"13";"8"
anthonytadina"";"14";"-8"
guille"";"8";"-8"
bebraw"";"21";"2"
Smartik89"";"9";"None"
jimjag"";"12";"None"
nornagon"";"23";"-8"
scrooloose"";"9";"0"
l3l0"";"8";"1"
JoelMarcey"";"13";"None"
diederich"";"9";"None"
jcobb"";"3";"None"
rgl"";"10";"0"
justindujardin"";"11";"-8"
bjeanes"";"10";"-8"
saschagehlich"";"13";"1"
bhollis"";"22";"-8"
tomaz"";"8";"1"
rudyrichter"";"18";"None"
burtlo"";"12";"-7"
robconery"";"9";"-10"
chriskempson"";"9";"0"
praeclarum"";"14";"-8"
cjohansen"";"23";"1"
MugunthKumar"";"15";"8"
muratayusuke"";"14";"9"
yields"";"2";"None"
meltingice"";"10";"-5"
cholmes"";"7";"None"
BourgerieQuentin"";"2";"None"
gabrielfalcao"";"11";"-5"
matej"";"11";"1"
tomafro"";"12";"0"
sindresorhus"";"0";"1"
MarkMYoung"";"14";"-5"
tomdale"";"17";"-8"
darkchaz"";"14";"None"
mattheworiordan"";"19";"0"
lamblin"";"13";"None"
piedar"";"16";"None"
valums"";"12";"None"
ijm"";"18";"None"
pmundkur"";"13";"None"
shin-"";"19";"1"
rogercampos"";"23";"1"
etrepum"";"11";"-8"
ptarjan"";"14";"-8"
marijnh"";"11";"1"
leehambley"";"10";"1"
leoner"";"16";"8"
fw42"";"16";"1"
DTrejo"";"16";"-8"
nateware"";"10";"-8"
xaizek"";"12";"None"
sqmk"";"21";"-8"
jterrace"";"21";"-8"
bfirsh"";"16";"0"
dschult"";"13";"None"
thedaniel"";"12";"-8"
kmike"";"1";"5"
ciaranj"";"14";"0"
Aaron1011"";"15";"-5"
sgrif"";"15";"-7"
ssafejava"";"20";"None"
RandomEtc"";"10";"-8"
erikwt"";"10";"1"
jarl-dk"";"13";"1"
unixmonkey"";"12";"-5"
timmywil"";"12";"-5"
tiff"";"15";"1"
Joachim31415"";"15";"0"
nsf"";"1";"5"
tom025"";"18";"0"
pgte"";"11";"0"
suskind"";"12";"None"
bradediger"";"14";"-6"
nst"";"13";"1"
Krinkle"";"0";"1"
peter-budo"";"18";"0"
richhickey"";"17";"-5"
sstephenson"";"12";"-6"
barttenbrinke"";"13";"1"
tblobaum"";"15";"-6"
notnoop"";"20";"-5"
fb55"";"15";"1"
Maks3w"";"9";"1"
lspcity"";"8";"None"
henriquemoody"";"13";"-3"
jaberg"";"17";"-5"
mttkay"";"18";"1"
repeatedly"";"18";"9"
int3"";"20";"-5"
lwright-sq"";"10";"10"
mkelly12"";"10";"-8"
bitwiseshiftleft"";"10";"None"
sgolemon"";"13";"-8"
eriwen"";"9";"-7"
erica"";"16";"-7"
Rip-Rip"";"7";"1"
colinmegill"";"0";"-8"
fdr"";"14";"None"
ericz"";"23";"-8"
michaelficarra"";"14";"-8"
danielmarbach"";"14";"None"
soyjavi"";"10";"1"
purcell"";"8";"0"
shadchin"";"16";"5"
flosse"";"17";"1"
chebee7i"";"12";"None"
chao"";"9";"8"
dongilbert"";"21";"-6"
fancyapps"";"15";"2"
tsteur"";"13";"None"
rymai"";"0";"1"
jnunemaker"";"16";"-5"
egorkhmelev"";"8";"3"
stepanhruda"";"11";"-5"
robin850"";"11";"1"
dagwieers"";"18";"1"
wildabeast"";"14";"-8"
samdunn"";"19";"-5"
manveru"";"19";"1"
leejarvis"";"8";"None"
saebekassebil"";"13";"1"
robertwijas"";"14";"1"
ryanb"";"20";"-5"
headjs"";"5";"None"
duhanebel"";"7";"None"
weslly"";"18";"-3"
nathangreenstein"";"17";"None"
derekjones"";"11";"None"
mereskin"";"21";"3"
siegfriedpammer"";"9";"None"
miguno"";"11";"1"
ashtom"";"17";"1"
karmi"";"18";"1"
qiao"";"14";"-8"
mjschranz"";"11";"-5"
probablycorey"";"8";"-8"
wvanbergen"";"11";"-5"
millermedeiros"";"12";"-3"
zwaldowski"";"12";"-5"
volmer"";"20";"-3"
wagenet"";"11";"-8"
zootreeves"";"2";"0"
perwendel"";"18";"1"
davidchambers"";"17";"-8"
naderman"";"17";"1"
bajtos"";"10";"1"
fiorix"";"10";"-5"
rstacruz"";"3";"8"
thermogl"";"11";"0"
bigtunacan"";"14";"None"
wincent"";"22";"-8"
mAiNiNfEcTiOn"";"14";"0"
felixge"";"10";"1"
felipeelias"";"15";"1"
tute"";"6";"None"
frsyuki"";"23";"-8"
joomla-jenkins"";"3";"None"
yourewelcome"";"13";"-5"
skivvies"";"10";"None"
getify"";"13";"-6"
assaf"";"9";"-8"
danmactough"";"0";"-5"
snkashis"";"11";"-5"
ccabot"";"17";"-5"
Shougo"";"12";"9"
nathanaelkane"";"9";"10"
fredhq"";"22";"-5"
icambron"";"15";"-5"
piwikteam"";"13";"None"
gekitz"";"11";"1"
danwrong"";"10";"-8"
vpulim"";"9";"-5"
mattrobenolt"";"23";"-8"
jedi4ever"";"11";"1"
twcamper"";"18";"-6"
ymendel"";"15";"None"
fernandezpablo85"";"19";"-3"
nirvdrum"";"10";"-5"
fikovnik"";"11";"1"
sehmaschine"";"14";"1"
madhums"";"23";"1"
smarek"";"21";"1"
jyurek"";"11";"-5"
scottkellum"";"9";"-5"
arsduo"";"11";"-6"
froh42"";"4";"None"
davidcoallier"";"14";"0"
ChrisMissal"";"22";"-6"
njakobsen"";"15";"-8"
kenjikobe"";"13";"9"
iolalde"";"3";"None"
solnic"";"11";"0"
dahlbyk"";"21";"-6"
ezkl"";"10";"-5"
jdalton"";"8";"None"
ioerror"";"12";"None"
bradbirdsall"";"0";"-8"
desandro"";"7";"-5"
wbond"";"9";"-5"
bergie"";"17";"1"
rdp"";"11";"-7"
davatron5000"";"9";"-6"
Seldaek"";"10";"1"
zefhemel"";"10";"1"
per-nilsson"";"22";"-8"
pedrocorreia"";"16";"0"
tgpfeiffer"";"7";"None"
daylerees"";"11";"0"
amalloy"";"13";"-8"
lucaong"";"19";"1"
amccollum"";"12";"None"
irrationalfab"";"16";"1"
hornairs"";"14";"-5"
gregschechter"";"14";"None"
doubleyou"";"12";"-8"
zombor"";"9";"-6"
louisstow"";"17";"-8"
victor-homyakov"";"5";"None"
jrgifford"";"16";"-5"
iangreenleaf"";"16";"-8"
floere"";"19";"10"
arnogues"";"12";"None"
cirosantilli"";"13";"1"
RaiMan"";"15";"1"
jskorpan"";"15";"1"
pfn"";"8";"-8"
samuraisam"";"11";"-8"
sorl"";"1";"1"
treyhunner"";"16";"-8"
sork"";"2";"1"
utahta"";"18";"9"
kumilingus"";"8";"None"
tilomitra"";"14";"-6"
nex3"";"17";"-8"
gabriel"";"14";"-8"
amatsuda"";"16";"9"
lepture"";"17";"8"
feross"";"23";"-8"
petehunt"";"10";"-8"
mbest"";"11";"-10"
mperham"";"20";"-8"
shawndavenport"";"12";"-6"
gildegoma"";"0";"1"
JamesKovacs"";"12";"-7"
pamelafox"";"11";"None"
manuelkiessling"";"21";"1"
mshibuya"";"12";"9"
billerickson"";"9";"-6"
spruce"";"14";"None"
iKreativ"";"13";"0"
mattab"";"18";"None"
milohuang"";"16";"None"
ragaskar"";"7";"-8"
hadley"";"15";"-6"
acmetech"";"14";"-5"
braddunbar"";"11";"-5"
tekkub"";"18";"-7"
donavon"";"12";"-5"
Lukasa"";"9";"0"
trishume"";"16";"-5"
commonsguy"";"10";"None"
sunny"";"14";"1"
shnhrrsn"";"12";"-5"
nicolasff"";"17";"0"
hightman"";"15";"8"
antialize"";"17";"1"
stevengill"";"15";"-8"
adoxa"";"7";"None"
paulmillr"";"23";"2"
lsbardel"";"7";"0"
straps"";"12";"1"
johannilsson"";"16";"1"
jbrooksuk"";"9";"0"
alloy"";"11";"1"
savetheclocktower"";"16";"-6"
mason-larobina"";"1";"10"
georgedorn"";"20";"None"
sdmix"";"0";"0"
vmg"";"18";"1"
quirkey"";"17";"-5"
schmittjoh"";"2";"None"
daneden"";"12";"-8"
romainguy"";"23";"None"
jsierles"";"15";"1"
wbotelhos"";"0";"-3"
eduardolundgren"";"15";"-4"
jvashishtha"";"13";"-8"
tsi"";"0";"2"
rafibomb"";"11";"None"
flyerhzm"";"0";"8"
benbrown"";"21";"-6"
brianteeman"";"10";"None"
avit"";"15";"-8"
andytlr"";"11";"10"
auchenberg"";"23";"1"
meleyal"";"16";"1"
mjibson"";"3";"-5"
ezyang"";"15";"-8"
defunctzombie"";"10";"-5"
ebensing"";"14";"-5"
trisweb"";"11";"-5"
jamesaanderson"";"16";"-8"
jimweirich"";"17";"-5"
amenonsen"";"8";"None"
gjohnson"";"15";"-5"
benoitc"";"10";"1"
bradfitz"";"11";"-8"
afeinberg"";"1";"-8"
billf"";"10";"-8"
kstenerud"";"9";"-8"
akv2"";"11";"-5"
glasser"";"16";"-8"
drodriguez"";"0";"1"
koenpunt"";"10";"1"
kylejginavan"";"7";"-6"
hoisie"";"8";"-8"
stephenplusplus"";"11";"-5"
paulhammond"";"16";"-8"
britto"";"20";"-3"
cstigler"";"13";"-8"
nicolasgramlich"";"19";"-8"
KuraFire"";"11";"-8"
docteurklein"";"9";"1"
petejkim"";"19";"-8"
nikic"";"15";"1"
dennisreimann"";"22";"1"
jmathai"";"16";"-8"
Nilos"";"4";"None"
hochang"";"14";"None"
jtsternberg"";"10";"-5"
tibbe"";"1";"1"
percysnoodle"";"1";"None"
stevegury"";"9";"-8"
alxlit"";"18";"None"
qur"";"13";"None"
lizzie"";"16";"8"
oampo"";"10";"0"
yawnt"";"9";"None"
scottgonzalez"";"13";"-5"
masonforest"";"13";"-8"
techlivezheng"";"18";"8"
wibiti"";"22";"None"
domchristie"";"10";"0"
ralphschindler"";"11";"-6"
PedroLamas"";"23";"0"
ConradIrwin"";"0";"-8"
lancee"";"2";"8"
makeusabrew"";"9";"0"
pcreux"";"2";"-8"
condemil"";"23";"3"
0xced"";"23";"1"
cedricss"";"14";"1"
evanw"";"16";"None"
onebit"";"14";"-8"
drbrain"";"14";"-8"
s3u"";"11";"None"
joaosa"";"8";"None"
pkyeck"";"10";"1"
bjorn"";"22";"1"
Silex"";"2";"None"
n8fr8"";"23";"-5"
lojjic"";"15";"-7"
sipa"";"16";"None"
iamstevemckinney"";"14";"None"
mgravell"";"11";"0"
padolsey"";"22";"0"
tonymillion"";"14";"0"
gmarik"";"14";"-6"
sblom"";"11";"-8"
eyeseast"";"11";"-5"
dduponchel"";"21";"1"
cyu"";"10";"-5"
